questionId,trade_count,q1,q2,q3,q4,setA,setB,setN,active
399,1,F,F,T,F,F,T,F,N
399,15,F,F,F,T,F,T,F,Y
400,6,F,F,F,T,F,F,T,N
402,8,T,F,F,F,F,F,T,N
402,4,F,T,F,F,F,F,T,N
402,7,F,F,T,F,F,F,T,N
403,90,T,F,F,F,T,F,F,Y
403,33,F,T,F,F,T,F,F,N
403,26,F,F,T,F,T,F,F,Y
403,5,F,F,F,T,T,F,F,N
404,30,T,F,F,F,F,T,F,N
404,44,F,T,F,F,F,T,F,Y
405,14,T,F,F,F,F,T,F,N
405,8,F,T,F,F,F,T,F,Y
406,4,T,F,F,F,F,F,T,N
406,3,F,F,T,F,F,F,T,N
409,0,T,F,F,F,F,F,T,N
409,1,F,T,F,F,F,F,T,N
410,10,T,F,F,F,F,T,F,N
410,1,F,T,F,F,F,T,F,Y
411,7,T,F,F,F,F,F,T,N
411,0,F,T,F,F,F,F,T,N
411,2,F,F,T,F,F,F,T,N
413,3,T,F,F,F,F,T,F,N
413,11,F,T,F,F,F,T,F,Y
413,3,F,F,T,F,F,T,F,N
413,16,F,F,F,T,F,T,F,Y
414,7,T,F,F,F,F,F,T,N
414,2,F,T,F,F,F,F,T,N
414,6,F,F,T,F,F,F,T,N
414,3,F,F,F,T,F,F,T,N
416,4,T,F,F,F,T,F,F,Y
416,8,F,T,F,F,T,F,F,N
417,11,T,F,F,F,F,T,F,N
417,27,F,T,F,F,F,T,F,Y
418,81,T,F,F,F,T,F,F,Y
418,17,F,T,F,F,T,F,F,N
419,26,T,F,F,F,T,F,F,Y
419,18,F,T,F,F,T,F,F,N
420,191,T,F,F,F,T,F,F,Y
420,48,F,T,F,F,T,F,F,N
420,50,F,F,T,F,T,F,F,Y
420,8,F,F,F,T,T,F,F,N
421,8,T,F,F,F,F,F,T,N
421,1,F,T,F,F,F,F,T,N
421,6,F,F,T,F,F,F,T,N
422,6,T,F,F,F,F,T,F,N
422,25,F,T,F,F,F,T,F,Y
422,1,F,F,T,F,F,T,F,N
424,5,T,F,F,F,F,F,T,N
424,0,F,T,F,F,F,F,T,N
424,2,F,F,T,F,F,F,T,N
425,17,T,F,F,F,T,F,F,Y
425,16,F,T,F,F,T,F,F,N
426,8,T,F,F,F,F,T,F,N
426,21,F,T,F,F,F,T,F,Y
427,6,F,T,F,F,F,F,T,N
427,2,F,F,T,F,F,F,T,N
427,2,F,F,F,T,F,F,T,N
428,5,T,F,F,F,T,F,F,Y
428,10,F,T,F,F,T,F,F,N
438,33,T,F,F,F,T,F,F,Y
438,12,F,T,F,F,T,F,F,N
438,4,F,F,T,F,T,F,F,Y
441,3,F,F,F,T,F,F,T,N
442,2,T,F,F,F,F,F,T,N
442,2,F,T,F,F,F,F,T,N
442,1,F,F,T,F,F,F,T,N
442,2,F,F,F,T,F,F,T,N
445,13,T,F,F,F,F,T,F,N
445,33,F,T,F,F,F,T,F,Y
445,2,F,F,T,F,F,T,F,N
446,13,T,F,F,F,F,F,T,N
446,4,F,T,F,F,F,F,T,N
446,12,F,F,T,F,F,F,T,N
446,3,F,F,F,T,F,F,T,N
447,56,T,F,F,F,T,F,F,Y
447,23,F,T,F,F,T,F,F,N
447,294,F,F,T,F,T,F,F,Y
447,4,F,F,F,T,T,F,F,N
448,12,T,F,F,F,T,F,F,Y
448,11,F,T,F,F,T,F,F,N
448,9,F,F,T,F,T,F,F,Y
450,20,T,F,F,F,F,F,T,N
450,1,F,T,F,F,F,F,T,N
450,2,F,F,T,F,F,F,T,N
450,9,F,F,F,T,F,F,T,N
451,18,T,F,F,F,T,F,F,Y
451,10,F,T,F,F,T,F,F,N
452,37,T,F,F,F,T,F,F,Y
452,24,F,T,F,F,T,F,F,N
452,189,F,F,T,F,T,F,F,Y
452,8,F,F,F,T,T,F,F,N
453,3,T,F,F,F,F,F,T,N
453,1,F,T,F,F,F,F,T,N
454,42,T,F,F,F,T,F,F,Y
454,34,F,T,F,F,T,F,F,N
454,200,F,F,T,F,T,F,F,Y
454,77,F,F,F,T,T,F,F,N
455,3,T,F,F,F,F,F,T,N
455,3,F,F,T,F,F,F,T,N
455,2,F,F,F,T,F,F,T,N
456,3,F,F,F,T,F,F,T,N
459,16,T,F,F,F,F,T,F,N
459,57,F,T,F,F,F,T,F,Y
465,5,T,F,F,F,F,T,F,N
466,19,T,F,F,F,F,T,F,N
466,45,F,T,F,F,F,T,F,Y
467,2,T,F,F,F,T,F,F,Y
467,24,F,T,F,F,T,F,F,N
468,6,T,F,F,F,T,F,F,Y
468,11,F,T,F,F,T,F,F,N
469,15,T,F,F,F,F,T,F,N
469,50,F,T,F,F,F,T,F,Y
484,15,T,F,F,F,F,F,T,N
484,10,F,T,F,F,F,F,T,N
484,10,F,F,T,F,F,F,T,N
484,5,F,F,F,T,F,F,T,N
508,2,T,F,F,F,F,F,T,N
508,1,F,T,F,F,F,F,T,N
508,0,F,F,T,F,F,F,T,N
508,0,F,F,F,T,F,F,T,N
511,4,T,F,F,F,F,T,F,N
529,38,T,F,F,F,T,F,F,Y
529,27,F,T,F,F,T,F,F,N
529,5,F,F,T,F,T,F,F,Y
529,2,F,F,F,T,T,F,F,N
531,3,T,F,F,F,F,F,T,N
531,2,F,T,F,F,F,F,T,N
531,2,F,F,T,F,F,F,T,N
532,3,F,F,F,T,F,F,T,N
533,7,T,F,F,F,F,T,F,N
533,15,F,T,F,F,F,T,F,Y
533,2,F,F,T,F,F,T,F,N
533,27,F,F,F,T,F,T,F,Y
534,9,T,F,F,F,F,F,T,N
535,6,F,F,T,F,F,F,T,N
547,3,T,F,F,F,F,F,T,N
547,2,F,T,F,F,F,F,T,N
548,6,T,F,F,F,F,F,T,N
548,3,F,F,T,F,F,F,T,N
548,3,F,F,F,T,F,F,T,N
551,20,F,T,F,F,F,T,F,Y
551,1,F,F,T,F,F,T,F,N
551,7,F,F,F,T,F,T,F,Y
552,2,T,F,F,F,F,T,F,N
552,100,F,T,F,F,F,T,F,Y
552,24,F,F,T,F,F,T,F,N
552,25,F,F,F,T,F,T,F,Y
553,23,T,F,F,F,T,F,F,Y
553,10,F,T,F,F,T,F,F,N
553,36,F,F,T,F,T,F,F,Y
553,14,F,F,F,T,T,F,F,N
554,27,T,F,F,F,F,T,F,N
554,25,F,T,F,F,F,T,F,Y
555,17,T,F,F,F,F,F,T,N
555,5,F,T,F,F,F,F,T,N
556,40,T,F,F,F,F,F,T,N
556,30,F,T,F,F,F,F,T,N
556,20,F,F,T,F,F,F,T,N
556,10,F,F,F,T,F,F,T,N
558,3,T,F,F,F,F,F,T,N
559,3,T,F,F,F,F,T,F,N
559,8,F,T,F,F,F,T,F,Y
560,5,T,F,F,F,F,T,F,N
560,13,F,T,F,F,F,T,F,Y
560,1,F,F,T,F,F,T,F,N
561,12,T,F,F,F,T,F,F,Y
561,3,F,T,F,F,T,F,F,N
561,6,F,F,T,F,T,F,F,Y
561,5,F,F,F,T,T,F,F,N
562,5,T,F,F,F,F,T,F,N
562,8,F,T,F,F,F,T,F,Y
562,2,F,F,T,F,F,T,F,N
562,10,F,F,F,T,F,T,F,Y
565,30,T,F,F,F,T,F,F,Y
565,17,F,T,F,F,T,F,F,N
565,49,F,F,T,F,T,F,F,Y
565,7,F,F,F,T,T,F,F,N
566,276,T,F,F,F,F,T,F,N
566,30,F,T,F,F,F,T,F,Y
566,41,F,F,T,F,F,T,F,N
566,103,F,F,F,T,F,T,F,Y
579,1,F,T,F,F,F,F,T,N
579,4,F,F,T,F,F,F,T,N
579,11,F,F,F,T,F,F,T,N
580,27,T,F,F,F,F,T,F,N
580,20,F,T,F,F,F,T,F,Y
581,5,T,F,F,F,T,F,F,Y
581,2,F,T,F,F,T,F,F,N
581,7,F,F,T,F,T,F,F,Y
581,3,F,F,F,T,T,F,F,N
582,15,T,F,F,F,F,T,F,N
582,32,F,T,F,F,F,T,F,Y
582,5,F,F,T,F,F,T,F,N
582,22,F,F,F,T,F,T,F,Y
583,69,T,F,F,F,T,F,F,Y
583,21,F,T,F,F,T,F,F,N
584,9,T,F,F,F,F,T,F,N
584,36,F,T,F,F,F,T,F,Y
584,14,F,F,T,F,F,T,F,N
584,85,F,F,F,T,F,T,F,Y
586,2,T,F,F,F,F,F,T,N
586,4,F,T,F,F,F,F,T,N
586,4,F,F,T,F,F,F,T,N
587,5,T,F,F,F,F,T,F,N
587,22,F,T,F,F,F,T,F,Y
587,5,F,F,T,F,F,T,F,N
587,3,F,F,F,T,F,T,F,Y
588,104,T,F,F,F,T,F,F,Y
588,16,F,T,F,F,T,F,F,N
607,10,T,F,F,F,T,F,F,Y
607,14,F,T,F,F,T,F,F,N
609,8,T,F,F,F,T,F,F,Y
609,8,F,T,F,F,T,F,F,N
609,22,F,F,T,F,T,F,F,Y
609,18,F,F,F,T,T,F,F,N
616,4,T,F,F,F,F,T,F,N
616,20,F,T,F,F,F,T,F,Y
616,5,F,F,T,F,F,T,F,N
616,12,F,F,F,T,F,T,F,Y
620,112,T,F,F,F,T,F,F,Y
620,79,F,T,F,F,T,F,F,N
620,82,F,F,T,F,T,F,F,Y
620,87,F,F,F,T,T,F,F,N
622,54,T,F,F,F,T,F,F,Y
622,22,F,T,F,F,T,F,F,N
622,80,F,F,T,F,T,F,F,Y
622,9,F,F,F,T,T,F,F,N
623,8,T,F,F,F,F,T,F,N
623,18,F,T,F,F,F,T,F,Y
623,4,F,F,T,F,F,T,F,N
623,9,F,F,F,T,F,T,F,Y
624,15,T,F,F,F,F,T,F,N
624,28,F,T,F,F,F,T,F,Y
625,23,T,F,F,F,T,F,F,Y
625,17,F,T,F,F,T,F,F,N
628,4,T,F,F,F,F,T,F,N
628,47,F,T,F,F,F,T,F,Y
629,11,T,F,F,F,F,F,T,N
629,8,F,T,F,F,F,F,T,N
629,3,F,F,T,F,F,F,T,N
629,9,F,F,F,T,F,F,T,N
631,4,F,T,F,F,F,F,T,N
631,5,F,F,T,F,F,F,T,N
632,27,F,T,F,F,F,T,F,Y
633,9,T,F,F,F,T,F,F,Y
633,13,F,T,F,F,T,F,F,N
633,35,F,F,T,F,T,F,F,Y
633,5,F,F,F,T,T,F,F,N
635,13,T,F,F,F,T,F,F,Y
635,8,F,T,F,F,T,F,F,N
636,5,T,F,F,F,F,F,T,N
636,2,F,T,F,F,F,F,T,N
637,169,T,F,F,F,F,F,T,N
637,19,F,T,F,F,F,F,T,N
637,9,F,F,T,F,F,F,T,N
637,4,F,F,F,T,F,F,T,N
638,6,T,F,F,F,F,F,T,N
638,4,F,T,F,F,F,F,T,N
638,3,F,F,T,F,F,F,T,N
638,2,F,F,F,T,F,F,T,N
639,7,T,F,F,F,F,F,T,N
639,0,F,T,F,F,F,F,T,N
639,4,F,F,T,F,F,F,T,N
644,7,T,F,F,F,T,F,F,Y
644,2,F,T,F,F,T,F,F,N
644,8,F,F,T,F,T,F,F,Y
644,8,F,F,F,T,T,F,F,N
646,2,F,T,F,F,F,F,T,N
647,40,T,F,F,F,T,F,F,Y
647,13,F,T,F,F,T,F,F,N
647,27,F,F,T,F,T,F,F,Y
647,11,F,F,F,T,T,F,F,N
649,18,T,F,F,F,F,T,F,N
653,15,T,F,F,F,F,F,T,N
653,13,F,T,F,F,F,F,T,N
653,3,F,F,T,F,F,F,T,N
654,28,T,F,F,F,T,F,F,Y
654,12,F,T,F,F,T,F,F,N
654,6,F,F,T,F,T,F,F,Y
654,3,F,F,F,T,T,F,F,N
656,31,T,F,F,F,F,T,F,N
656,31,F,T,F,F,F,T,F,Y
659,15,T,F,F,F,F,T,F,N
663,4,T,F,F,F,T,F,F,Y
663,2,F,T,F,F,T,F,F,N
663,6,F,F,T,F,T,F,F,Y
664,5,T,F,F,F,F,T,F,N
664,8,F,T,F,F,F,T,F,Y
664,38,F,F,F,T,F,T,F,Y
665,12,T,F,F,F,T,F,F,Y
665,3,F,T,F,F,T,F,F,N
665,14,F,F,T,F,T,F,F,Y
665,5,F,F,F,T,T,F,F,N
666,18,T,F,F,F,F,T,F,N
666,31,F,T,F,F,F,T,F,Y
666,9,F,F,T,F,F,T,F,N
666,7,F,F,F,T,F,T,F,Y
668,8,T,F,F,F,F,F,T,N
668,1,F,T,F,F,F,F,T,N
668,16,F,F,T,F,F,F,T,N
668,2,F,F,F,T,F,F,T,N
670,16,T,F,F,F,T,F,F,Y
670,10,F,T,F,F,T,F,F,N
673,2,T,F,F,F,F,T,F,N
673,0,F,T,F,F,F,T,F,Y
673,0,F,F,T,F,F,T,F,N
673,13,F,F,F,T,F,T,F,Y
