quest_id,quarter1_trade_counts,setA,setB,setN
844,1,F,F,T
850,3,F,F,T
868,1,F,F,T
879,1,F,F,T
882,1,F,F,T
892,2,F,F,T
902,19,F,F,T
908,58,F,F,T
909,8,F,F,T
912,2,F,F,T
913,1,F,F,T
914,1,F,F,T
915,2,F,F,T
916,4,F,F,T
919,1,F,F,T
921,1,F,F,T
935,5,F,F,T
938,15,F,F,T
992,5,F,F,T
994,1,F,F,T
995,1,F,F,T
996,2,F,F,T
997,2,F,F,T
999,2,F,F,T
1001,7,F,F,T
1002,5,F,F,T
1003,2,F,F,T
1006,4,F,F,T
1020,1,F,F,T
1021,6,F,F,T
1022,27,F,F,T
1023,38,F,F,T
1024,5,F,F,T
1028,11,F,F,T
1033,1,F,F,T
1035,3,F,F,T
1048,59,F,F,T
1049,6,F,F,T
1050,46,F,F,T
1053,24,F,F,T
1054,7,F,F,T
1055,7,F,F,T
1057,3,F,F,T
1058,7,F,F,T
1059,5,F,F,T
1060,1,F,F,T
1062,1,F,F,T
1063,10,F,F,T
1064,1,F,F,T
1065,3,F,F,T
1066,36,F,F,T
1070,6,F,F,T
1071,5,F,F,T
1073,5,F,F,T
1076,8,F,F,T
1077,9,F,F,T
1078,1,F,F,T
1079,1,F,F,T
1080,1,F,F,T
1081,1,F,F,T
1082,5,F,F,T
1083,169,F,F,T
1084,1,F,F,T
