quest_id,trade_counts,setA,setB,setN,active
446,4,F,F,T,N
447,19,T,F,F,N
448,11,T,F,F,N
450,1,F,F,T,N
451,10,T,F,F,N
452,21,T,F,F,N
453,1,F,F,T,N
454,23,T,F,F,N
467,24,T,F,F,N
468,11,T,F,F,N
483,2,F,F,T,N
484,10,F,F,T,N
508,1,F,F,T,N
529,25,T,F,F,N
531,2,F,F,T,N
547,2,F,F,T,N
549,1,F,F,T,N
553,8,T,F,F,N
555,5,F,F,T,N
556,30,F,F,T,N
561,3,T,F,F,N
565,7,T,F,F,N
579,1,F,F,T,N
581,2,T,F,F,N
583,21,T,F,F,N
586,4,F,F,T,N
588,16,T,F,F,N
607,14,T,F,F,N
609,8,T,F,F,N
620,78,T,F,F,N
622,13,T,F,F,N
625,17,T,F,F,N
629,8,F,F,T,N
631,3,F,F,T,N
633,13,T,F,F,N
635,7,T,F,F,N
636,2,F,F,T,N
637,19,F,F,T,N
638,4,F,F,T,N
644,2,T,F,F,N
646,2,F,F,T,N
647,10,T,F,F,N
650,1,F,F,T,N
651,1,F,F,T,N
653,12,F,F,T,N
654,10,T,F,F,N
657,1,F,F,T,N
663,2,T,F,F,N
665,3,T,F,F,N
668,1,F,F,T,N
670,10,T,F,F,N
675,3,F,F,T,N
679,10,T,F,F,N
682,6,F,F,T,N
684,25,T,F,F,N
689,1,F,F,T,N
693,10,T,F,F,N
694,6,F,F,T,N
696,8,F,F,T,N
697,26,F,F,T,N
702,23,T,F,F,N
704,24,T,F,F,N
706,14,T,F,F,N
709,5,F,F,T,N
710,9,T,F,F,N
714,1,F,F,T,N
715,3,T,F,F,N
719,13,T,F,F,N
720,33,T,F,F,N
721,9,F,F,T,N
722,1,F,F,T,N
724,10,T,F,F,N
725,2,F,F,T,N
726,13,T,F,F,N
729,11,F,F,T,N
731,6,F,F,T,N
734,4,F,F,T,N
741,9,T,F,F,N
742,7,F,F,T,N
745,2,T,F,F,N
748,17,F,F,T,N
753,1,F,F,T,N
755,2,F,F,T,N
759,2,F,F,T,N
769,3,F,F,T,N
771,22,F,F,T,N
772,11,F,F,T,N
773,1,F,F,T,N
774,4,T,F,F,N
777,4,F,F,T,N
778,1,F,F,T,N
786,7,T,F,F,N
788,1,F,F,T,N
791,11,T,F,F,N
793,2,T,F,F,N
795,3,F,F,T,N
796,1,F,F,T,N
798,1,F,F,T,N
801,21,T,F,F,N
804,7,F,F,T,N
805,1,F,F,T,N
812,14,F,F,T,N
813,12,F,F,T,N
816,7,T,F,F,N
818,10,T,F,F,N
819,18,T,F,F,N
820,3,F,F,T,N
821,3,F,F,T,N
822,8,T,F,F,N
824,1,F,F,T,N
825,1,F,F,T,N
827,2,F,F,T,N
839,13,T,F,F,N
841,1,F,F,T,N
842,28,T,F,F,N
844,2,F,F,T,N
847,1,T,F,F,N
851,5,T,F,F,N
856,8,T,F,F,N
858,7,T,F,F,N
863,8,T,F,F,N
864,7,F,F,T,N
868,1,F,F,T,N
872,2,F,F,T,N
873,1,F,F,T,N
875,5,T,F,F,N
876,7,T,F,F,N
879,2,F,F,T,N
883,1,F,F,T,N
895,11,T,F,F,N
900,9,T,F,F,N
902,1,F,F,T,N
905,8,T,F,F,N
909,4,F,F,T,N
910,7,T,F,F,N
912,2,F,F,T,N
913,1,F,F,T,N
914,5,F,F,T,N
916,3,F,F,T,N
918,63,T,F,F,N
920,1,T,F,F,N
925,5,T,F,F,N
926,1,T,F,F,N
927,9,T,F,F,N
929,2,T,F,F,N
931,4,T,F,F,N
933,3,T,F,F,N
936,19,T,F,F,N
940,31,T,F,F,N
942,1,T,F,F,N
943,4,T,F,F,N
944,1,T,F,F,N
957,9,T,F,F,N
958,7,T,F,F,N
959,1,T,F,F,N
961,6,T,F,F,N
962,8,T,F,F,N
963,3,T,F,F,N
964,1,T,F,F,N
966,5,T,F,F,N
977,32,T,F,F,N
978,7,T,F,F,N
979,1,T,F,F,N
981,1,T,F,F,N
987,31,T,F,F,N
988,6,T,F,F,N
989,1,T,F,F,N
991,2,T,F,F,N
992,1,F,F,T,N
993,3,F,F,T,N
994,21,F,F,T,N
995,2,F,F,T,N
996,4,F,F,T,N
998,1,F,F,T,N
1001,1,F,F,T,N
1002,1,F,F,T,N
1003,2,F,F,T,N
1004,10,T,F,F,N
1006,2,F,F,T,N
1010,1,T,F,F,N
1011,1,T,F,F,N
1014,2,T,F,F,N
1016,1,T,F,F,N
1017,2,F,F,T,N
1019,5,F,F,T,N
1020,1,F,F,T,N
1022,19,F,F,T,N
1023,13,F,F,T,N
1026,14,T,F,F,N
1030,28,T,F,F,N
1034,14,T,F,F,N
1035,1,F,F,T,N
1039,12,T,F,F,N
1040,14,T,F,F,N
1041,21,T,F,F,N
1042,3,T,F,F,N
1044,10,T,F,F,N
1045,2,F,F,T,N
1048,26,F,F,T,N
1050,6,F,F,T,N
1053,7,F,F,T,N
1055,3,F,F,T,N
1057,4,F,F,T,N
1058,8,F,F,T,N
1059,4,F,F,T,N
1060,1,F,F,T,N
1063,14,F,F,T,N
1064,11,F,F,T,N
1065,1,F,F,T,N
1066,6,F,F,T,N
1067,12,F,F,T,N
1070,2,F,F,T,N
1071,1,F,F,T,N
1073,3,F,F,T,N
1077,2,F,F,T,N
1082,1,F,F,T,N
1083,33,F,F,T,N
1084,2,F,F,T,N
1088,3,F,F,T,N
1090,2,F,F,T,N
1091,15,F,F,T,N
1093,1,F,F,T,N
1095,2,F,F,T,N
1097,3,F,F,T,N
1098,2,F,F,T,N
1100,1,F,F,T,N
1103,1,F,F,T,N
1105,1,F,F,T,N
1106,2,F,F,T,N
1107,11,F,F,T,N
1108,2,F,F,T,N
1110,1,F,F,T,N
1112,2,F,F,T,N
1114,8,F,F,T,N
1120,10,F,F,T,N
1121,39,F,F,T,N
1122,14,F,F,T,N
1123,2,F,F,T,N
84,49,F,T,F,Y
102,85,F,T,F,Y
130,22,F,T,F,Y
139,23,F,T,F,Y
145,70,F,T,F,Y
172,45,F,T,F,Y
183,36,F,T,F,Y
188,50,F,T,F,Y
189,32,F,T,F,Y
190,47,F,T,F,Y
192,27,F,T,F,Y
194,49,F,T,F,Y
199,35,F,T,F,Y
205,17,F,T,F,Y
209,58,F,T,F,Y
212,25,F,T,F,Y
213,59,F,T,F,Y
217,10,F,T,F,Y
220,30,F,T,F,Y
254,2,F,T,F,Y
257,8,F,T,F,Y
307,16,F,T,F,Y
334,23,F,T,F,Y
337,4,F,T,F,Y
341,33,F,T,F,Y
342,16,F,T,F,Y
343,70,F,T,F,Y
349,1,F,T,F,Y
352,29,F,T,F,Y
359,65,F,T,F,Y
360,102,F,T,F,Y
370,4,F,T,F,Y
372,2,F,T,F,Y
375,50,F,T,F,Y
382,93,F,T,F,Y
393,19,F,T,F,Y
399,42,F,T,F,Y
404,44,F,T,F,Y
405,8,F,T,F,Y
410,1,F,T,F,Y
413,11,F,T,F,Y
417,26,F,T,F,Y
422,24,F,T,F,Y
426,21,F,T,F,Y
445,31,F,T,F,Y
459,56,F,T,F,Y
466,45,F,T,F,Y
469,50,F,T,F,Y
533,15,F,T,F,Y
551,11,F,T,F,Y
552,96,F,T,F,Y
554,23,F,T,F,Y
559,8,F,T,F,Y
560,13,F,T,F,Y
562,8,F,T,F,Y
566,25,F,T,F,Y
580,20,F,T,F,Y
582,32,F,T,F,Y
584,36,F,T,F,Y
587,22,F,T,F,Y
616,10,F,T,F,Y
623,18,F,T,F,Y
624,28,F,T,F,Y
628,47,F,T,F,Y
632,27,F,T,F,Y
656,31,F,T,F,Y
664,6,F,T,F,Y
666,31,F,T,F,Y
681,3,F,T,F,Y
703,17,F,T,F,Y
705,45,F,T,F,Y
708,17,F,T,F,Y
717,34,F,T,F,Y
718,43,F,T,F,Y
723,4,F,T,F,Y
727,10,F,T,F,Y
732,20,F,T,F,Y
733,35,F,T,F,Y
761,10,F,T,F,Y
776,25,F,T,F,Y
787,11,F,T,F,Y
792,9,F,T,F,Y
794,6,F,T,F,Y
802,20,F,T,F,Y
803,28,F,T,F,Y
817,2,F,T,F,Y
837,46,F,T,F,Y
838,42,F,T,F,Y
845,2,F,T,F,Y
846,5,F,T,F,Y
848,4,F,T,F,Y
857,18,F,T,F,Y
859,8,F,T,F,Y
860,6,F,T,F,Y
861,35,F,T,F,Y
862,6,F,T,F,Y
865,32,F,T,F,Y
866,6,F,T,F,Y
867,54,F,T,F,Y
877,9,F,T,F,Y
878,3,F,T,F,Y
880,96,F,T,F,Y
896,2,F,T,F,Y
901,19,F,T,F,Y
906,105,F,T,F,Y
907,88,F,T,F,Y
917,105,F,T,F,Y
924,21,F,T,F,Y
928,12,F,T,F,Y
932,6,F,T,F,Y
934,12,F,T,F,Y
937,65,F,T,F,Y
947,29,F,T,F,Y
948,58,F,T,F,Y
949,22,F,T,F,Y
951,6,F,T,F,Y
952,37,F,T,F,Y
953,20,F,T,F,Y
954,16,F,T,F,Y
956,7,F,T,F,Y
967,11,F,T,F,Y
968,33,F,T,F,Y
969,8,F,T,F,Y
971,33,F,T,F,Y
972,20,F,T,F,Y
973,40,F,T,F,Y
974,18,F,T,F,Y
975,14,F,T,F,Y
982,80,F,T,F,Y
983,28,F,T,F,Y
984,3,F,T,F,Y
986,2,F,T,F,Y
1008,5,F,T,F,Y
1009,4,F,T,F,Y
1012,5,F,T,F,Y
1013,2,F,T,F,Y
1015,1,F,T,F,Y
1025,25,F,T,F,Y
1027,57,F,T,F,Y
1029,12,F,T,F,Y
1031,13,F,T,F,Y
1032,15,F,T,F,Y
1036,68,F,T,F,Y
1037,40,F,T,F,Y
1038,60,F,T,F,Y
1043,72,F,T,F,Y
1047,2,F,T,F,Y
1051,7,F,T,F,Y
1052,18,F,T,F,Y
1056,1,F,T,F,Y
1068,2,F,T,F,Y
1069,9,F,T,F,Y
1072,2,F,T,F,Y
1074,2,F,T,F,Y
1075,1,F,T,F,Y
1085,5,F,T,F,Y
1087,5,F,T,F,Y
1094,2,F,T,F,Y
1096,4,F,T,F,Y
1101,7,F,T,F,Y
1109,1,F,T,F,Y
1111,2,F,T,F,Y
1113,1,F,T,F,Y
1115,2,F,T,F,Y
1116,2,F,T,F,Y
1118,3,F,T,F,Y
1119,2,F,T,F,Y
