quest_id,quarter2_trade_counts,setA,setB,setN
876,7,T,F,F
877,9,F,T,F
878,3,F,T,F
879,2,F,F,T
880,96,F,T,F
883,1,F,F,T
895,11,T,F,F
896,2,F,T,F
900,9,T,F,F
901,19,F,T,F
902,1,F,F,T
905,8,T,F,F
906,105,F,T,F
907,88,F,T,F
909,4,F,F,T
910,7,T,F,F
912,2,F,F,T
913,1,F,F,T
914,5,F,F,T
916,3,F,F,T
917,105,F,T,F
918,63,T,F,F
920,1,T,F,F
924,21,F,T,F
925,5,T,F,F
926,1,T,F,F
927,9,T,F,F
928,12,F,T,F
929,2,T,F,F
931,4,T,F,F
932,6,F,T,F
933,3,T,F,F
934,12,F,T,F
936,19,T,F,F
937,65,F,T,F
940,31,T,F,F
942,1,T,F,F
943,4,T,F,F
944,1,T,F,F
947,29,F,T,F
948,58,F,T,F
949,22,F,T,F
951,6,F,T,F
952,37,F,T,F
953,20,F,T,F
954,16,F,T,F
956,7,F,T,F
957,9,T,F,F
958,7,T,F,F
959,1,T,F,F
961,6,T,F,F
962,8,T,F,F
963,3,T,F,F
964,1,T,F,F
966,5,T,F,F
967,11,F,T,F
968,33,F,T,F
969,8,F,T,F
971,33,F,T,F
972,20,F,T,F
973,40,F,T,F
974,18,F,T,F
975,14,F,T,F
977,32,T,F,F
978,7,T,F,F
979,1,T,F,F
981,1,T,F,F
982,80,F,T,F
983,28,F,T,F
984,3,F,T,F
986,2,F,T,F
987,31,T,F,F
988,6,T,F,F
989,1,T,F,F
991,2,T,F,F
992,1,F,F,T
993,3,F,F,T
994,21,F,F,T
995,2,F,F,T
996,4,F,F,T
998,1,F,F,T
1001,1,F,F,T
1002,1,F,F,T
1003,2,F,F,T
1004,10,T,F,F
1006,2,F,F,T
1008,5,F,T,F
1009,4,F,T,F
1010,1,T,F,F
1011,1,T,F,F
1012,5,F,T,F
1013,2,F,T,F
1014,2,T,F,F
1015,1,F,T,F
1016,1,T,F,F
1017,2,F,F,T
1019,5,F,F,T
1020,1,F,F,T
1022,19,F,F,T
1023,13,F,F,T
1025,25,F,T,F
1026,14,T,F,F
1027,57,F,T,F
1029,12,F,T,F
1030,28,T,F,F
1031,13,F,T,F
1032,15,F,T,F
1034,14,T,F,F
1035,1,F,F,T
1036,68,F,T,F
1037,40,F,T,F
1038,60,F,T,F
1039,12,T,F,F
1040,14,T,F,F
1041,21,T,F,F
1042,3,T,F,F
1043,72,F,T,F
1044,10,T,F,F
1045,2,F,F,T
1047,2,F,T,F
1048,26,F,F,T
1050,6,F,F,T
1051,7,F,T,F
1052,18,F,T,F
1053,7,F,F,T
1055,3,F,F,T
1056,1,F,T,F
1057,4,F,F,T
1058,8,F,F,T
1059,4,F,F,T
1060,1,F,F,T
1063,14,F,F,T
1064,11,F,F,T
1065,1,F,F,T
1066,6,F,F,T
1067,12,F,F,T
1068,2,F,T,F
1069,9,F,T,F
1070,2,F,F,T
1071,1,F,F,T
1072,2,F,T,F
1073,3,F,F,T
1074,2,F,T,F
1075,1,F,T,F
1077,2,F,F,T
1082,1,F,F,T
1083,33,F,F,T
1084,2,F,F,T
1085,5,F,T,F
1087,5,F,T,F
1088,3,F,F,T
1090,2,F,F,T
1091,15,F,F,T
1093,1,F,F,T
1094,2,F,T,F
1095,2,F,F,T
1096,4,F,T,F
1097,3,F,F,T
1098,2,F,F,T
1100,1,F,F,T
1101,7,F,T,F
1103,1,F,F,T
1105,1,F,F,T
1106,2,F,F,T
1107,11,F,F,T
1108,2,F,F,T
1109,1,F,T,F
1110,1,F,F,T
1111,2,F,T,F
1112,2,F,F,T
1113,1,F,T,F
1114,8,F,F,T
1115,2,F,T,F
1116,2,F,T,F
1118,3,F,T,F
1119,2,F,T,F
1120,10,F,F,T
1121,39,F,F,T
1122,14,F,F,T
1123,2,F,F,T
