Question ID,Qtr1 Trade Cnt,Qtr2 Trade Cnt,Sum,setA,setB,setN
179,8,14,22,T,F,F
180,1,#N/A,1,F,F,T
181,#N/A,8,8,F,F,T
182,1,4,5,F,F,T
183,7,36,43,F,T,F
184,67,5,72,T,F,F
188,10,50,60,F,T,F
189,8,32,40,F,T,F
190,13,47,60,F,T,F
191,8,11,19,T,F,F
192,8,27,35,F,T,F
193,21,17,38,T,F,F
194,18,49,67,F,T,F
195,6,15,21,T,F,F
197,8,14,22,T,F,F
198,3,1,4,F,F,T
199,10,35,45,F,T,F
200,10,#N/A,10,F,F,T
201,37,21,58,T,F,F
204,51,25,76,T,F,F
205,2,17,19,F,T,F
208,44,8,52,T,F,F
209,5,58,63,F,T,F
212,5,25,30,F,T,F
213,20,59,79,F,T,F
214,#N/A,1,1,F,F,T
215,#N/A,1,1,F,F,T
216,53,8,61,T,F,F
217,9,10,19,F,T,F
220,2,30,32,F,T,F
224,14,28,42,T,F,F
225,1,#N/A,1,F,F,T
227,#N/A,1,1,F,F,T
228,4,8,12,F,F,T
229,56,27,83,T,F,F
230,16,4,20,T,F,F
231,3,6,9,F,F,T
253,18,5,23,T,F,F
254,4,2,6,F,T,F
257,3,8,11,F,T,F
287,#N/A,1,1,F,F,T
290,#N/A,1,1,F,F,T
291,#N/A,1,1,F,F,T
292,#N/A,1,1,F,F,T
293,#N/A,1,1,F,F,T
294,#N/A,1,1,F,F,T
295,#N/A,1,1,F,F,T
296,#N/A,1,1,F,F,T
297,#N/A,2,2,F,F,T
298,#N/A,1,1,F,F,T
299,#N/A,1,1,F,F,T
300,#N/A,1,1,F,F,T
301,#N/A,1,1,F,F,T
302,1,#N/A,1,F,F,T
307,4,16,20,F,T,F
309,20,15,35,T,F,F
311,1,#N/A,1,F,F,T
312,8,#N/A,8,F,F,T
313,13,3,16,F,F,T
314,15,5,20,T,F,F
316,11,5,16,T,F,F
317,10,3,13,F,F,T
318,9,3,12,F,F,T
320,54,15,69,F,F,T
321,215,61,276,T,F,F
322,8,2,10,F,F,T
326,45,17,62,T,F,F
327,#N/A,1,1,F,F,T
328,65,23,88,T,F,F
332,#N/A,1,1,F,F,T
333,16,8,24,T,F,F
334,7,23,30,F,T,F
337,4,4,8,F,T,F
338,44,14,58,T,F,F
341,17,33,50,F,T,F
342,13,16,29,F,T,F
343,26,70,96,F,T,F
345,14,9,23,T,F,F
346,8,#N/A,8,F,F,T
347,15,13,28,T,F,F
349,29,1,30,F,T,F
351,1,#N/A,1,F,F,T
352,11,29,40,F,T,F
353,5,1,6,F,F,T
355,33,14,47,T,F,F
357,16,15,31,T,F,F
358,46,11,57,T,F,F
359,8,65,73,F,T,F
360,7,102,109,F,T,F
361,3,#N/A,3,F,T,F
363,1,1,2,F,F,T
369,37,4,41,T,F,F
370,#N/A,4,4,F,T,F
372,10,2,12,F,T,F
374,45,#N/A,45,T,F,F
375,44,50,94,F,T,F
376,7,14,21,T,F,F
377,9,29,38,T,F,F
379,21,4,25,F,F,T
382,80,93,173,F,T,F
384,52,20,72,T,F,F
386,34,20,54,T,F,F
393,6,19,25,F,T,F
399,9,42,51,F,T,F
400,1,2,3,F,F,T
402,8,4,12,F,F,T
403,89,33,122,T,F,F
404,25,44,69,F,T,F
405,10,8,18,F,T,F
406,4,1,5,F,F,T
409,#N/A,1,1,F,F,T
410,10,1,11,F,T,F
411,7,#N/A,7,F,F,T
413,3,11,14,F,T,F
414,7,2,9,F,F,T
416,4,7,11,T,F,F
417,9,26,35,F,T,F
418,81,17,98,T,F,F
419,26,18,44,T,F,F
420,187,46,233,T,F,F
421,8,1,9,F,F,T
422,4,24,28,F,T,F
424,5,#N/A,5,F,F,T
425,17,16,33,T,F,F
426,6,21,27,F,T,F
427,#N/A,6,6,F,F,T
428,5,10,15,T,F,F
431,2,#N/A,2,F,F,T
435,2,#N/A,2,F,F,T
436,1,#N/A,1,F,F,T
437,1,#N/A,1,F,F,T
438,32,9,41,T,F,F
439,#N/A,1,1,F,F,T
440,#N/A,1,1,F,F,T
442,2,2,4,F,F,T
443,1,#N/A,1,F,F,T
445,9,31,40,F,T,F
446,13,4,17,F,F,T
447,52,19,71,T,F,F
448,12,11,23,T,F,F
449,2,#N/A,2,F,F,T
450,20,1,21,F,F,T
451,18,10,28,T,F,F
452,37,21,58,T,F,F
453,3,1,4,F,F,T
454,37,23,60,T,F,F
455,3,#N/A,3,F,F,T
456,1,#N/A,1,F,F,T
459,12,56,68,F,T,F
465,5,#N/A,5,F,T,F
466,15,45,60,F,T,F
467,2,24,26,T,F,F
468,6,11,17,T,F,F
469,12,50,62,F,T,F
483,#N/A,2,2,F,F,T
484,15,10,25,F,F,T
508,2,1,3,F,F,T
511,4,#N/A,4,F,T,F
529,36,25,61,T,F,F
531,3,2,5,F,F,T
532,1,#N/A,1,F,F,T
533,4,15,19,F,T,F
534,9,#N/A,9,F,F,T
535,1,#N/A,1,F,F,T
540,1,#N/A,1,F,F,T
541,2,#N/A,2,F,F,T
547,3,2,5,F,F,T
548,5,#N/A,5,F,F,T
549,1,1,2,F,F,T
551,1,11,12,F,T,F
552,2,96,98,F,T,F
553,19,8,27,T,F,F
554,24,23,47,F,T,F
555,17,5,22,F,F,T
556,40,30,70,F,F,T
557,1,#N/A,1,F,F,T
558,2,#N/A,2,F,F,T
559,1,8,9,F,T,F
560,2,13,15,F,T,F
561,11,3,14,T,F,F
562,5,8,13,F,T,F
565,29,7,36,T,F,F
566,272,25,297,F,T,F
568,1,#N/A,1,F,F,T
577,1,#N/A,1,F,F,T
579,#N/A,1,1,F,F,T
580,22,20,42,F,T,F
581,4,2,6,T,F,F
582,11,32,43,F,T,F
583,69,21,90,T,F,F
584,7,36,43,F,T,F
586,1,4,5,F,F,T
587,5,22,27,F,T,F
588,102,16,118,T,F,F
607,10,14,24,T,F,F
608,1,#N/A,1,F,F,T
609,8,8,16,T,F,F
616,4,10,14,F,T,F
620,109,78,187,T,F,F
622,53,13,66,T,F,F
623,8,18,26,F,T,F
624,11,28,39,F,T,F
625,23,17,40,T,F,F
628,2,47,49,F,T,F
629,11,8,19,F,F,T
631,#N/A,3,3,F,F,T
632,1,27,28,F,T,F
633,9,13,22,T,F,F
634,2,#N/A,2,F,F,T
635,13,7,20,T,F,F
636,5,2,7,F,F,T
637,164,19,183,F,F,T
638,6,4,10,F,F,T
639,7,#N/A,7,F,F,T
640,1,#N/A,1,F,T,F
644,6,2,8,T,F,F
646,1,2,3,F,F,T
647,38,10,48,T,F,F
649,18,#N/A,18,F,T,F
650,#N/A,1,1,F,F,T
651,2,1,3,F,F,T
653,15,12,27,F,F,T
654,27,10,37,T,F,F
656,26,31,57,F,T,F
657,#N/A,1,1,F,F,T
659,15,#N/A,15,F,T,F
663,4,2,6,T,F,F
664,5,6,11,F,T,F
665,12,3,15,T,F,F
666,11,31,42,F,T,F
668,7,1,8,F,F,T
670,16,10,26,T,F,F
673,2,#N/A,2,F,T,F
675,#N/A,3,3,F,F,T
678,1,#N/A,1,F,F,T
679,28,10,38,T,F,F
680,3,#N/A,3,F,F,T
681,5,3,8,F,T,F
682,2,6,8,F,F,T
683,4,#N/A,4,F,F,T
684,52,25,77,T,F,F
686,1,#N/A,1,F,F,T
688,3,#N/A,3,F,F,T
689,4,1,5,F,F,T
690,1,#N/A,1,F,F,T
691,1,#N/A,1,F,F,T
692,2,#N/A,2,F,F,T
693,1,10,11,T,F,F
694,6,6,12,F,F,T
696,7,8,15,F,F,T
697,9,26,35,F,F,T
701,2,#N/A,2,F,F,T
702,86,23,109,T,F,F
703,2,17,19,F,T,F
704,22,24,46,T,F,F
705,3,45,48,F,T,F
706,81,14,95,T,F,F
708,4,17,21,F,T,F
709,1,5,6,F,F,T
710,47,9,56,T,F,F
711,14,#N/A,14,F,F,T
712,1,#N/A,1,F,F,T
714,4,1,5,F,F,T
715,29,3,32,T,F,F
717,29,34,63,F,T,F
718,14,43,57,F,T,F
719,12,13,25,T,F,F
720,46,33,79,T,F,F
721,9,9,18,F,F,T
722,2,1,3,F,F,T
723,3,4,7,F,T,F
724,25,10,35,T,F,F
725,3,2,5,F,F,T
726,31,13,44,T,F,F
727,26,10,36,F,T,F
729,8,11,19,F,F,T
731,9,6,15,F,F,T
732,13,20,33,F,T,F
733,15,35,50,F,T,F
734,2,4,6,F,F,T
736,1,#N/A,1,F,F,T
740,4,#N/A,4,F,F,T
741,18,9,27,T,F,F
742,8,7,15,F,F,T
743,1,#N/A,1,F,F,T
744,2,#N/A,2,F,F,T
745,13,2,15,T,F,F
746,1,#N/A,1,F,F,T
748,24,17,41,F,F,T
749,9,#N/A,9,F,F,T
753,1,1,2,F,F,T
755,9,2,11,F,F,T
756,2,#N/A,2,F,F,T
757,7,#N/A,7,F,F,T
759,#N/A,2,2,F,F,T
760,6,#N/A,6,F,F,T
761,1,10,11,F,T,F
762,4,#N/A,4,F,F,T
768,16,#N/A,16,F,F,T
769,6,3,9,F,F,T
770,2,#N/A,2,F,F,T
771,18,22,40,F,F,T
772,10,11,21,F,F,T
773,#N/A,1,1,F,F,T
774,45,4,49,T,F,F
776,27,25,52,F,T,F
777,10,4,14,F,F,T
778,7,1,8,F,F,T
782,1,#N/A,1,F,F,T
783,1,#N/A,1,F,F,T
786,11,7,18,T,F,F
787,2,11,13,F,T,F
788,1,1,2,F,F,T
789,9,#N/A,9,F,T,F
790,1,#N/A,1,F,F,T
791,46,11,57,T,F,F
792,8,9,17,F,T,F
793,7,2,9,T,F,F
794,4,6,10,F,T,F
795,2,3,5,F,F,T
796,#N/A,1,1,F,F,T
798,1,1,2,F,F,T
799,9,#N/A,9,F,F,T
801,47,21,68,T,F,F
802,4,20,24,F,T,F
803,9,28,37,F,T,F
804,8,7,15,F,F,T
805,#N/A,1,1,F,F,T
806,8,#N/A,8,F,F,T
809,1,#N/A,1,F,F,T
812,74,14,88,F,F,T
813,26,12,38,F,F,T
816,16,7,23,T,F,F
817,8,2,10,F,T,F
818,22,10,32,T,F,F
819,19,18,37,T,F,F
820,2,3,5,F,F,T
821,3,3,6,F,F,T
822,48,8,56,T,F,F
823,1,#N/A,1,F,F,T
824,4,1,5,F,F,T
825,4,1,5,F,F,T
826,2,#N/A,2,F,F,T
827,17,2,19,F,F,T
835,7,#N/A,7,F,T,F
837,23,46,69,F,T,F
838,8,42,50,F,T,F
839,12,13,25,T,F,F
841,7,1,8,F,F,T
842,89,28,117,T,F,F
844,1,2,3,F,F,T
845,4,2,6,F,T,F
846,#N/A,5,5,F,T,F
847,1,1,2,T,F,F
848,1,4,5,F,T,F
850,3,#N/A,3,F,F,T
851,15,5,20,T,F,F
853,238,#N/A,238,T,F,F
856,53,8,61,T,F,F
857,2,18,20,F,T,F
858,18,7,25,T,F,F
859,3,8,11,F,T,F
860,8,6,14,F,T,F
861,7,35,42,F,T,F
862,1,6,7,F,T,F
863,44,8,52,T,F,F
864,#N/A,7,7,F,F,T
865,2,32,34,F,T,F
866,6,6,12,F,T,F
867,7,54,61,F,T,F
868,1,1,2,F,F,T
872,#N/A,2,2,F,F,T
873,#N/A,1,1,F,F,T
875,20,5,25,T,F,F
876,27,7,34,T,F,F
877,1,9,10,F,T,F
878,#N/A,3,3,F,T,F
879,1,2,3,F,F,T
880,9,96,105,F,T,F
882,1,#N/A,1,F,F,T
883,#N/A,1,1,F,F,T
892,2,#N/A,2,F,F,T
894,11,#N/A,11,F,T,F
895,14,11,25,T,F,F
896,3,2,5,F,T,F
897,132,#N/A,132,T,F,F
898,21,#N/A,21,F,T,F
899,42,#N/A,42,F,T,F
900,23,9,32,T,F,F
901,13,19,32,F,T,F
902,19,1,20,F,F,T
905,67,8,75,T,F,F
906,6,105,111,F,T,F
907,11,88,99,F,T,F
908,58,#N/A,58,F,F,T
909,8,4,12,F,F,T
910,22,7,29,T,F,F
912,2,2,4,F,F,T
913,1,1,2,F,F,T
914,1,5,6,F,F,T
915,2,#N/A,2,F,F,T
916,4,3,7,F,F,T
917,25,105,130,F,T,F
918,165,63,228,T,F,F
919,1,#N/A,1,F,F,T
920,59,1,60,T,F,F
921,1,#N/A,1,F,F,T
922,72,#N/A,72,T,F,F
923,38,#N/A,38,T,F,F
924,3,21,24,F,T,F
925,160,5,165,T,F,F
926,45,1,46,T,F,F
927,54,9,63,T,F,F
928,#N/A,12,12,F,T,F
929,10,2,12,T,F,F
931,14,4,18,T,F,F
932,5,6,11,F,T,F
933,15,3,18,T,F,F
934,11,12,23,F,T,F
935,5,#N/A,5,F,F,T
936,27,19,46,T,F,F
937,10,65,75,F,T,F
938,15,#N/A,15,F,F,T
939,2,#N/A,2,F,T,F
940,80,31,111,T,F,F
941,1,#N/A,1,T,F,F
942,15,1,16,T,F,F
943,1,4,5,T,F,F
944,8,1,9,T,F,F
947,39,29,68,F,T,F
948,12,58,70,F,T,F
949,8,22,30,F,T,F
951,#N/A,6,6,F,T,F
952,27,37,64,F,T,F
953,#N/A,20,20,F,T,F
954,#N/A,16,16,F,T,F
956,#N/A,7,7,F,T,F
957,94,9,103,T,F,F
958,38,7,45,T,F,F
959,22,1,23,T,F,F
961,11,6,17,T,F,F
962,69,8,77,T,F,F
963,31,3,34,T,F,F
964,22,1,23,T,F,F
966,8,5,13,T,F,F
967,13,11,24,F,T,F
968,1,33,34,F,T,F
969,#N/A,8,8,F,T,F
971,#N/A,33,33,F,T,F
972,38,20,58,F,T,F
973,1,40,41,F,T,F
974,1,18,19,F,T,F
975,#N/A,14,14,F,T,F
977,104,32,136,T,F,F
978,52,7,59,T,F,F
979,23,1,24,T,F,F
981,4,1,5,T,F,F
982,58,80,138,F,T,F
983,6,28,34,F,T,F
984,#N/A,3,3,F,T,F
986,#N/A,2,2,F,T,F
987,88,31,119,T,F,F
988,19,6,25,T,F,F
989,20,1,21,T,F,F
991,6,2,8,T,F,F
992,5,1,6,F,F,T
993,#N/A,3,3,F,F,T
994,1,21,22,F,F,T
995,1,2,3,F,F,T
996,2,4,6,F,F,T
997,2,#N/A,2,F,F,T
998,#N/A,1,1,F,F,T
999,2,#N/A,2,F,F,T
1001,7,1,8,F,F,T
1002,5,1,6,F,F,T
1003,2,2,4,F,F,T
1004,176,10,186,T,F,F
1006,4,2,6,F,F,T
1007,3,#N/A,3,T,F,F
1008,#N/A,5,5,F,T,F
1009,#N/A,4,4,F,T,F
1010,3,1,4,T,F,F
1011,4,1,5,T,F,F
1012,#N/A,5,5,F,T,F
1013,#N/A,2,2,F,T,F
1014,2,2,4,T,F,F
1015,#N/A,1,1,F,T,F
1016,3,1,4,T,F,F
1017,#N/A,2,2,F,F,T
1019,#N/A,5,5,F,F,T
1020,1,1,2,F,F,T
1021,6,#N/A,6,F,F,T
1022,27,19,46,F,F,T
1023,38,13,51,F,F,T
1024,5,#N/A,5,F,F,T
1025,6,25,31,F,T,F
1026,37,14,51,T,F,F
1027,25,57,82,F,T,F
1028,11,#N/A,11,F,F,T
1029,2,12,14,F,T,F
1030,94,28,122,T,F,F
1031,1,13,14,F,T,F
1032,2,15,17,F,T,F
1033,1,#N/A,1,F,F,T
1034,29,14,43,T,F,F
1035,3,1,4,F,F,T
1036,11,68,79,F,T,F
1037,10,40,50,F,T,F
1038,1,60,61,F,T,F
1039,57,12,69,T,F,F
1040,39,14,53,T,F,F
1041,91,21,112,T,F,F
1042,19,3,22,T,F,F
1043,15,72,87,F,T,F
1044,47,10,57,T,F,F
1045,#N/A,2,2,F,F,T
1047,9,2,11,F,T,F
1048,59,26,85,F,F,T
1049,6,#N/A,6,F,F,T
1050,46,6,52,F,F,T
1051,18,7,25,F,T,F
1052,11,18,29,F,T,F
1053,24,7,31,F,F,T
1054,7,#N/A,7,F,F,T
1055,7,3,10,F,F,T
1056,4,1,5,F,T,F
1057,3,4,7,F,F,T
1058,7,8,15,F,F,T
1059,5,4,9,F,F,T
1060,1,1,2,F,F,T
1061,3,#N/A,3,F,T,F
1062,1,#N/A,1,F,F,T
1063,10,14,24,F,F,T
1064,1,11,12,F,F,T
1065,3,1,4,F,F,T
1066,36,6,42,F,F,T
1067,#N/A,12,12,F,F,T
1068,2,2,4,F,T,F
1069,12,9,21,F,T,F
1070,6,2,8,F,F,T
1071,5,1,6,F,F,T
1072,4,2,6,F,T,F
1073,5,3,8,F,F,T
1074,#N/A,2,2,F,T,F
1075,4,1,5,F,T,F
1076,8,#N/A,8,F,F,T
1077,9,2,11,F,F,T
1078,1,#N/A,1,F,F,T
1079,1,#N/A,1,F,F,T
1080,1,#N/A,1,F,F,T
1081,1,#N/A,1,F,F,T
1082,5,1,6,F,F,T
1083,169,33,202,F,F,T
1084,1,2,3,F,F,T
1085,#N/A,5,5,F,T,F
1087,#N/A,5,5,F,T,F
1088,#N/A,3,3,F,F,T
1090,#N/A,2,2,F,F,T
1091,#N/A,15,15,F,F,T
1093,#N/A,1,1,F,F,T
1094,#N/A,2,2,F,T,F
1095,#N/A,2,2,F,F,T
1096,#N/A,4,4,F,T,F
1097,#N/A,3,3,F,F,T
1098,#N/A,2,2,F,F,T
1100,#N/A,1,1,F,F,T
1101,#N/A,7,7,F,T,F
1103,#N/A,1,1,F,F,T
1105,#N/A,1,1,F,F,T
1106,#N/A,2,2,F,F,T
1107,#N/A,11,11,F,F,T
1108,#N/A,2,2,F,F,T
1109,#N/A,1,1,F,T,F
1110,#N/A,1,1,F,F,T
1111,#N/A,2,2,F,T,F
1112,#N/A,2,2,F,F,T
1113,#N/A,1,1,F,T,F
1114,#N/A,8,8,F,F,T
1115,#N/A,2,2,F,T,F
1116,#N/A,2,2,F,T,F
1118,#N/A,3,3,F,T,F
1119,#N/A,2,2,F,T,F
1120,#N/A,10,10,F,F,T
1121,#N/A,39,39,F,F,T
1122,#N/A,14,14,F,F,T
1123,#N/A,2,2,F,F,T
